,2004_AVERAGE_SCORE,2005_AVERAGE_SCORE,2006_AVERAGE_SCORE,2007_AVERAGE_SCORE,2008_AVERAGE_SCORE,2009_AVERAGE_SCORE,2010_AVERAGE_SCORE,2011_AVERAGE_SCORE,2012_AVERAGE_SCORE,2013_AVERAGE_SCORE,2014_AVERAGE_SCORE
Men's Basketball,850.085714286,852.337142857,870.08,883.482857143,910.348571429,927.594285714,931.817142857,931.765714286,945.108571429,951.842857143,964.16
Men's Cross Country,775.79047619,773.33015873,818.485714286,825.26984127,845.441269841,866.825396825,885.276190476,884.292063492,869.552380952,868.092063492,889.955555556
Men's Skiing,874.090909091,959.454545455,966.727272727,969.454545455,966.0,871.636363636,977.909090909,879.0,980.0,976.909090909,993.727272727
Women's Skiing,888.75,879.75,958.916666667,998.416666667,878.333333333,985.833333333,993.916666667,981.166666667,988.916666667,991.416666667,983.5
Women's Softball,838.730375427,838.563139932,869.129692833,891.402730375,916.730375427,940.880546075,951.726962457,953.19112628,956.105802048,967.928327645,981.576791809
"Women's Track, Indoor",838.940625,848.728125,864.146875,877.828125,895.99375,928.728125,935.01875,935.921875,947.821875,945.890625,978.753125
Men's Ice Hockey,916.966101695,935.355932203,948.016949153,952.983050847,961.847457627,962.203389831,963.813559322,963.93220339,966.745762712,984.694915254,985.966101695
Women's Field Hockey,885.205128205,901.102564103,913.307692308,927.192307692,933.794871795,948.923076923,962.076923077,961.653846154,973.58974359,970.58974359,988.5
Men's Wrestling,834.896103896,828.415584416,887.922077922,904.532467532,935.818181818,916.350649351,931.974025974,928.974025974,936.61038961,923.103896104,969.103896104
Women's Golf,727.840304183,747.380228137,784.83269962,796.36121673,850.380228137,884.718631179,910.539923954,913.418250951,932.547528517,957.581749049,975.946768061
Women's Tennis,853.832298137,835.804347826,866.263975155,864.885093168,892.01242236,925.555900621,919.456521739,922.428571429,950.118012422,950.347826087,960.279503106
Women's Fencing,740.363636364,730.227272727,745.863636364,783.090909091,690.409090909,633.545454545,690.045454545,735.909090909,791.863636364,789.909090909,831.227272727
Women's Rowing,785.0,791.632183908,798.045977011,837.045977011,861.011494253,896.735632184,897.827586207,885.781609195,898.597701149,925.195402299,938.816091954
Women's Swimming,847.837563452,859.578680203,869.375634518,891.741116751,893.365482234,940.604060914,949.192893401,957.111675127,960.218274112,959.670050761,978.817258883
Women's Bowling,488.9375,578.09375,618.1875,623.46875,696.8125,720.375,753.5,875.21875,908.59375,976.0625,932.78125
Women's Lacrosse,667.757281553,689.106796117,721.495145631,732.951456311,775.300970874,820.786407767,838.077669903,861.40776699,881.961165049,957.368932039,990.174757282
Men's Tennis,810.766283525,830.318007663,836.352490421,840.551724138,867.141762452,891.24137931,900.636015326,911.862068966,924.233716475,925.444444444,937.295019157
Men's Fencing,614.777777778,740.388888889,803.555555556,793.611111111,795.388888889,858.5,786.277777778,859.833333333,809.166666667,866.333333333,861.222222222
Men's Swimming,829.97037037,830.592592593,845.962962963,884.148148148,892.014814815,918.57037037,917.911111111,928.022222222,939.051851852,915.422222222,939.348148148
"Men's Track, Indoor",787.328185328,800.861003861,823.67953668,844.849420849,868.934362934,913.127413127,913.718146718,911.034749035,923.876447876,911.822393822,961.131274131
Men's Gymnastics,899.0,906.066666667,964.2,910.066666667,989.933333333,905.666666667,977.866666667,976.933333333,902.466666667,844.0,844.066666667
Men's Lacrosse,713.014925373,764.805970149,762.656716418,763.970149254,780.940298507,812.686567164,828.820895522,859.626865672,864.985074627,897.014925373,961.731343284
Women's Basketball,877.25,879.402298851,900.804597701,913.867816092,929.692528736,947.764367816,951.442528736,953.327586207,958.66091954,962.063218391,980.043103448
"Women's Track, Outdoor",827.024169184,840.567975831,876.018126888,891.673716012,899.374622356,922.244712991,931.410876133,932.761329305,950.35347432,954.649546828,982.924471299
Mixed Rifle,678.545454545,733.454545455,820.5,808.090909091,774.5,832.181818182,827.863636364,831.863636364,822.545454545,887.727272727,927.772727273
Women's Soccer,848.726443769,854.392097264,886.762917933,905.832826748,922.279635258,940.185410334,949.52887538,951.90881459,956.577507599,960.717325228,985.990881459
"Men's Track, Outdoor",785.782142857,812.55,848.296428571,872.185714286,892.592857143,915.221428571,919.892857143,916.482142857,933.95,936.514285714,955.982142857
Women's Cross Country,838.404624277,843.317919075,883.450867052,894.043352601,901.87283237,913.979768786,948.124277457,946.855491329,941.280346821,943.378612717,965.37283237
Men's Volleyball,759.272727273,774.545454545,813.909090909,879.0,877.5,928.181818182,934.0,928.681818182,927.045454545,936.045454545,988.590909091
Women's Volleyball,877.936936937,880.009009009,898.261261261,914.018018018,932.720720721,953.516516517,956.156156156,956.513513514,964.447447447,968.588588589,985.678678679
Women's Water Polo,810.59375,771.5625,832.59375,930.1875,948.0625,947.15625,911.4375,918.375,948.15625,990.90625,954.71875
Men's Golf,793.407284768,806.387417219,852.721854305,859.38410596,867.11589404,893.894039735,904.870860927,922.513245033,933.400662252,934.225165563,952.973509934
Women's Gymnastics,964.37704918,963.803278689,980.442622951,984.393442623,987.098360656,988.262295082,990.278688525,987.37704918,987.114754098,993.049180328,991.721311475
Men's Soccer,849.45320197,849.103448276,874.192118227,891.344827586,915.201970443,931.093596059,942.802955665,939.714285714,949.310344828,954.812807882,975.068965517
Baseball,833.596666667,839.046666667,868.23,881.65,913.01,931.886666667,943.5,943.203333333,944.643333333,954.123333333,968.59
Men's Water Polo,727.727272727,779.818181818,814.681818182,823.409090909,877.636363636,878.590909091,934.545454545,932.090909091,930.727272727,931.136363636,942.454545455
Women's Ice Hockey,729.314285714,700.2,853.057142857,887.142857143,892.685714286,925.628571429,928.342857143,925.4,926.371428571,958.6,992.114285714
Football,843.78313253,848.100401606,862.86746988,874.489959839,888.485943775,906.088353414,908.59437751,915.449799197,932.413654618,937.987951807,962.004016064
