,2004_AVERAGE_SCORE,2005_AVERAGE_SCORE,2006_AVERAGE_SCORE,2007_AVERAGE_SCORE,2008_AVERAGE_SCORE,2009_AVERAGE_SCORE,2010_AVERAGE_SCORE,2011_AVERAGE_SCORE,2012_AVERAGE_SCORE,2013_AVERAGE_SCORE,2014_AVERAGE_SCORE
Alabama A&M University,14146,15194,15086,12150,12067,14229,11980,14006,15153,14247,13191
University of Alabama at Birmingham,12836,12747,13275,13094,13549,13261,13685,13713,13766,13873,13806
University of Alabama in Huntsville,958,940,940,947,980,957,943,908,978,957,959
Alabama State University,15418,14309,16322,16813,16218,16340,16613,16730,17005,17109,17227
University of Alabama,19190,18974,19373,20439,20395,20511,20642,20705,20747,20608,20761
Auburn University,18944,18876,18985,19095,18808,19053,19724,19394,19677,19705,19728
Jacksonville State University,15396,14883,15019,14943,15095,15275,15350,15521,15679,15500,15479
Samford University,16814,16723,16493,16686,16812,16857,16883,16473,16677,16329,16607
University of South Alabama,13773,14368,14026,15297,14682,14944,15191,15100,16616,16589,16692
Troy University,14949,14940,14797,14995,15494,15715,15396,15353,15539,15569,15585
University of Alaska Anchorage,807,823,1779,1852,1938,1813,1920,1960,1853,2000,1931
University of Alaska Fairbanks,929,980,939,929,915,1000,958,918,978,989,989
Arizona State University,19834,20031,20389,20550,20410,20456,20481,20738,20501,20742,20748
University of Arizona,18748,19033,18995,18968,19591,19278,19243,19368,19604,19528,19660
Grand Canyon University,-2079,-2079,-2079,-2079,-2079,-2079,-2079,-2079,-2079,-2079,18790
Northern Arizona University,14197,14013,14200,14419,14467,14614,14550,14351,14793,14673,14682
"University of Arkansas, Little Rock",13780,14502,14057,14311,14695,14783,14549,14632,14370,14119,13424
"University of Arkansas, Fayetteville",17789,18258,18266,18212,18111,18572,18436,18591,18393,18200,18741
"University of Arkansas, Pine Bluff",12987,12179,11896,12086,11125,14045,12602,14267,13788,13198,13246
Arkansas State University,14208,15071,15179,15060,15593,15188,15340,15653,15592,15728,15493
University of Central Arkansas,-1683,-1683,-1683,15552,16009,16374,16455,16328,16509,16221,16271
California Polytechnic State University,15755,15722,16734,19334,19337,18923,19448,19417,19551,19568,19477
"California State University, Bakersfield",-597,-713,-673,13052,14717,16236,15723,15905,16183,16068,16322
"California State University, Fresno",13381,13825,13378,13886,14218,16574,17588,17482,16444,16638,16615
"California State University, Fullerton",11730,12235,11825,10932,12064,12313,14487,14578,14664,14428,14488
Long Beach State University,17299,17438,17206,17533,17531,17522,17321,17619,17662,17490,17599
"California State University, Northridge",16713,16730,16541,17193,16244,14977,16384,16279,16296,17442,16461
"California State University, Sacramento",16347,17469,17533,17825,18318,19488,19371,19260,18459,18386,18436
"University of California, Berkeley",26237,25944,26120,26098,26376,26344,26359,26388,26113,26128,26336
"University of California, Davis",-1201,-1230,21023,21374,21326,21390,22081,22528,22728,22698,22599
"University of California, Irvine",17413,17408,17280,17256,17358,17487,17441,16525,16570,17832,17821
"University of California, Los Angeles",23318,23081,23160,23503,23205,23189,23402,23461,23628,23620,23680
"University of California, Riverside",15251,15561,16264,15748,16394,16334,16285,15366,16642,16514,16482
"University of California, Santa Barbara",18188,17823,17906,18187,18300,19112,19348,19333,19257,19528,19556
Loyola Marymount University,15689,15270,17626,17495,17405,17727,17645,17552,17718,17589,17695
University of the Pacific,13210,13393,14098,13259,14362,13373,13384,13216,14533,15691,15801
Pepperdine University,12464,13395,14533,13460,15216,15372,15826,13320,12498,13617,13612
San Diego State University,16656,17002,17038,17016,16180,17318,17000,17234,18353,18591,18598
University of San Diego,13285,12241,13502,14346,12470,15604,15605,15426,15637,15699,15791
University of San Francisco,11235,12228,13433,13359,13520,13729,13798,13734,13719,13819,13557
San Jose State University,14317,14379,14643,14799,15316,15524,15057,15480,15304,15315,17694
Santa Clara University,14227,17712,16367,14397,16424,16408,16684,16598,16667,16560,16749
St. Mary's College of California,11149,13307,13441,13175,13592,13432,13460,13641,15531,15797,15276
University of Southern California,16682,18093,18162,18088,18440,19266,19440,18249,19031,19263,20450
"University of Colorado, Boulder",14946,15529,15106,14988,15319,15338,15606,15721,15532,15659,16702
Colorado College,1988,2000,1949,1989,1977,2000,1974,1986,2000,2000,1976
Colorado State University,14306,14393,14047,14194,14612,14564,14548,14522,14591,14621,15789
University of Denver,16341,16459,16754,16703,16686,16665,16578,16858,16756,16747,16782
University of Northern Colorado,-1881,-1881,14691,17014,17050,18045,18027,18502,17381,14106,17578
U.S. Air Force Academy,25329,25178,25183,24295,25504,25714,25068,26379,26411,25433,26343
Central Connecticut State University,15575,16121,16822,17279,16950,16419,17561,17292,17698,17538,17470
University of Connecticut,21958,21605,22465,22367,22420,22307,22428,21379,22410,22611,23516
Fairfield University,13234,17617,17707,13138,14256,17540,17779,17727,17743,18763,18876
